1		1112706032		
2		1212705026		33
3		1312705002		38
4		1312705004		1
5		1312705006		
6		1312706008		
7		1312706018		1
8		1321012034		26
9		1412705006		
10		1412705014		11
11		1412705026		
12		1412705044		46
13		1412705056		
14		1412705302		
15		1412706004		
16		1412706012		0
17		1412706020		52
18		1512705010		
19		1512705020		46
20		1512705022		61
21		1512705028		0
22		1512705034		
23		1512705038		
24		1512705040		20
25		1512705044		15
26		1512705066		51
27		1512706002		25
28		1512706008		38
29		1512706016		71
30		1512706020		
31		1612705020		10
32		1612705030		
33		1612705038		
34		1712705006		28
35		1712705012		17
36		1712705040		
37		1712705042		47
38		1712705044		1
39		1712705048		58
40		1712705054		
41		1712705058		
42		1712705060		
43		1712705062		
44		1712705099		9
45		1712706002		1
46		1722705075		
